x_albumin_before_hydrolysis_SVM,y_albumin_before_hydrolysis_SVM,x_albumin_after_hydrolysis_SVM,y_albumin_after_hydrolysis_SVM,x_fibrinogen_before_hydrolysis_SVM,y_fibrinogen_before_hydrolysis_SVM,x_fibrinogen_after_hydrolysis_SVM,y_fibrinogen_after_hydrolysis_SVM,x_fibrinogen&albumin_before_hydrolysis_SVM,y_fibrinogen&albumin_before_hydrolysis_SVM,x_fibrinogen&albumin_after_hydrolysis_SVM,y_fibrinogen&albumin_after_hydrolysis_SVM
2.0,0.3241892610313663,2.0,1.0,2.0,0.1837513043230254,2.0,0.2180579550040959,2,0.12753156891327028,2.0,0.3563389356899525
3.0,0.9787347155768208,3.0,1.0,3.0,0.2867641663799986,3.0,0.687984502266366,3,0.26392197674330903,3.0,0.5184713202570739
4.0,0.9787347155768208,4.0,1.0,4.0,0.2983530667660665,4.0,0.7740447935276631,4,0.37469870810763656,4.0,0.7777183741306186
5.0,0.9560673244883772,5.0,0.9820004556846662,5.0,0.4283193147326033,5.0,0.8086091093420871,5,0.4460488329208566,5.0,0.8271501953085565
6.0,0.9677698032961191,6.0,1.0,6.0,0.48543527145184806,6.0,0.8144430743942214,6,0.4247685121499742,6.0,0.8706650263280378
7.0,0.9787347155768208,7.0,1.0,7.0,0.6020508843643768,7.0,0.8508385753051156,7,0.45908570137969495,7.0,0.8924435381715627
8.0,0.9840510366826156,8.0,0.976000607579555,8.0,0.6893065727054144,8.0,0.8787631744221635,8,0.4541244238035899,8.0,0.9041897679364371
9.0,1.0,9.0,0.9940001518948888,9.0,0.7417176869110513,9.0,0.9097976599568681,9,0.44920604882652976,9.0,0.9042842554080519
10.0,0.9893673577884105,10.0,1.0,10.0,0.8375283969682844,10.0,0.9318245632712255,10,0.4639916690667991,10.0,0.9071357982594884
11.0,0.9893673577884105,11.0,1.0,11.0,0.8996950964622104,11.0,0.9609019100781592,11,0.560898227625003,11.0,0.925412351680202
12.0,1.0,12.0,0.9880003037897774,12.0,0.8839846482719079,12.0,0.9632121779667978,12,0.5499149741838404,12.0,0.936385208468041
13.0,0.9784024455077087,13.0,1.0,13.0,0.8959139982941897,13.0,0.9839556539162234,13,0.6053584786346822,13.0,0.9146241550495485
14.0,0.9946836788942052,14.0,0.9940001518948888,14.0,0.9215918646428242,14.0,0.9724350244904628,14,0.7108821761212426,14.0,0.9269113650922947
15.0,0.9890350877192983,15.0,0.9880003037897774,15.0,0.931936277539165,15.0,0.9804859980182938,15,0.7625519565219424,15.0,0.9291991580993548
16.0,1.0,16.0,1.0,16.0,0.9382272955729308,16.0,0.991938118519527,16,0.758989453310837,16.0,0.9510827659670231
17.0,0.9946836788942052,17.0,1.0,17.0,0.9398440928857414,17.0,0.9873562230286358,17,0.8180451981384679,17.0,0.9519093293077261
18.0,0.9946836788942052,18.0,0.9940001518948888,18.0,0.9317107904140853,18.0,0.9826456276977781,18,0.9000436084469882,18.0,0.9546212651365289
19.0,1.0,19.0,1.0,19.0,0.9427630200121149,19.0,0.988532170142798,19,0.8895232018552232,19.0,0.9587643178617659
20.0,0.9773326089115563,20.0,0.9940001518948888,20.0,0.9551099035360452,20.0,0.9850043288003113,20,0.8987954581721538,20.0,0.9550209974494213
21.0,0.9773326089115563,21.0,1.0,21.0,0.958107733058124,21.0,0.990830972566228,21,0.9059132799637041,21.0,0.9577795251032502
22.0,1.0,22.0,1.0,22.0,0.9455696842960521,22.0,0.989623243097629,22,0.9081871017882989,22.0,0.960756083191871
23.0,1.0,23.0,1.0,23.0,0.9426788060071981,23.0,0.9816462357764872,23,0.9119297283586821,23.0,0.9803521414067133
24.0,0.9837187666135034,24.0,1.0,24.0,0.9534585690016782,24.0,0.9884951513363716,24,0.9198448930108182,24.0,0.9745939724364524
25.0,0.9840510366826156,25.0,0.9940001518948888,25.0,0.9596097192920556,25.0,0.9942634668454042,25,0.9355937763730686,25.0,0.9735429721923894
26.0,0.9946836788942052,26.0,0.9940001518948888,26.0,0.958182816707849,26.0,0.9919646644219743,26,0.9307841288174877,26.0,0.988245794940497
27.0,0.9890350877192983,27.0,1.0,27.0,0.9596775582403516,27.0,0.9931088291816996,27,0.9294137839606067,27.0,0.9814169432112076
28.0,1.0,28.0,1.0,28.0,0.9523434996383198,28.0,0.987366695932615,28,0.9301910624555344,28.0,0.9872848278846111
29.0,0.9837187666135034,29.0,0.9940001518948888,29.0,0.9610408634566664,29.0,0.9942529939414251,29,0.934826127581811,29.0,0.9891990266085305
30.0,1.0,30.0,1.0,30.0,0.9600925975933654,30.0,0.9919646644219743,30,0.9401046462605049,30.0,0.9853378820954128
31.0,1.0,31.0,1.0,31.0,0.9565610428744443,31.0,0.9954128680571193,31,0.9435814867546628,31.0,0.9862628539311666
32.0,1.0,32.0,0.9940001518948888,32.0,0.9564770273719938,32.0,0.9942582303934147,32,0.9279195459439467,32.0,0.9862628539311665
33.0,0.9946836788942052,33.0,1.0,33.0,0.9580430856586154,33.0,0.9908152632102593,33,0.9396624258466019,33.0,0.9882663193849245
34.0,0.9946836788942052,34.0,0.9880003037897774,34.0,0.9581501326744826,34.0,0.990830972566228,34,0.9408530896423103,34.0,0.9891939729398078
35.0,1.0,35.0,0.9940001518948888,35.0,0.9534002781323898,35.0,0.9885164607868292,35,0.942760864727571,35.0,0.9862881488264549
36.0,1.0,36.0,0.9940001518948888,36.0,0.964337746734266,36.0,0.9942582303934147,36,0.9524429399698262,36.0,0.987235424068831
37.0,0.9890350877192983,37.0,0.9940001518948888,37.0,0.9587064535309286,37.0,0.9931193020856788,37,0.9411227977727539,37.0,0.9911968454061674
38.0,0.9773326089115563,38.0,1.0,38.0,0.9683413549993297,38.0,0.9977064340285596,38,0.9474615181598861,38.0,0.9892382965351906
39.0,0.9946836788942052,39.0,1.0,39.0,0.9572333084791125,39.0,0.9885003877883612,39,0.9387046591837686,39.0,0.986310229842688
40.0,0.9890350877192983,40.0,1.0,40.0,0.961260212094512,40.0,0.9942687032973938,40,0.946732761814827,40.0,0.9902200978050403
41.0,1.0,41.0,1.0,41.0,0.9651441649564465,41.0,0.9862438406233472,41,0.9512908914350322,41.0,0.9951023135146678
42.0,0.9890350877192983,,,42.0,0.9588855297760673,42.0,0.9942582303934147,42,0.9438419777584317,42.0,0.9892275962103467
43.0,0.9780701754385965,,,43.0,0.9618560492513262,43.0,0.9965622692688342,43,0.9513696761553857,43.0,0.9911968454061674
44.0,1.0,,,44.0,0.9603396008317721,44.0,0.9931140656336892,44,0.9471864259071671,44.0,0.9911879240435184
45.0,0.9890350877192983,,,45.0,0.9573118005427435,45.0,0.9908204996622488,45,0.9481348514923398,45.0,0.9941297433770034
46.0,1.0,,,46.0,0.9546796219756096,46.0,0.996551796364855,46,0.949993193130176,46.0,0.9921533517807287
47.0,1.0,,,47.0,0.9625967738011183,47.0,0.9908257361142384,47,0.9459130439792508,47.0,0.996072511702739
48.0,1.0,,,48.0,0.9564646540474975,48.0,0.9988558352402745,48,0.9586858544491038,48.0,0.99213073860457
,,,,49.0,0.964269480117077,49.0,0.99540239515314,49,0.9531121349828758,49.0,0.9950933921520189
,,,,50.0,0.955889058028521,50.0,0.9977064340285596,50,0.947264960359005,50.0,0.9921550339074047
,,,,51.0,0.97051581194915,51.0,0.99540239515314,51,0.9627807716914085,51.0,0.9950978528333434
,,,,52.0,0.9611155803470808,52.0,0.9942634668454042,52,0.956019071761626,52.0,0.9990253411306043
,,,,53.0,0.961954887823869,53.0,0.9953863221546719,53,0.9586974573704066,53.0,0.9941252826956789
,,,,54.0,0.9657495990218417,54.0,0.9965622692688342,54,0.9565835826448054,54.0,0.9912057667688162
,,,,55.0,0.9704712504990209,55.0,0.9942739397493834,55,0.9579531406655868,55.0,0.9941005807877888
,,,,56.0,0.9648121761327559,56.0,0.9908362090182176,56,0.9599369315215877,56.0,0.9931595451889321
,,,,57.0,0.9611836344339642,57.0,0.9919699008739639,57,0.9511130435957884,57.0,0.9951088629277236
,,,,58.0,0.9642951679818268,58.0,0.9931193020856788,58,0.9593544611730466,58.0,0.9931440744132275
,,,,59.0,0.9641374430120383,59.0,0.99540239515314,59,0.9591932864545629,59.0,0.9911902959931116
,,,,60.0,0.9674703267544071,60.0,0.9919594279699846,60,0.9554682569615986,60.0,0.9970444888530052
,,,,61.0,0.9618175532181531,61.0,0.9931245385376685,61,0.9557683365996142,61.0,0.9931640058702567
,,,,62.0,0.9635612934655695,62.0,0.991980373777943,62,0.9600211466503988,62.0,0.996065369302285
,,,,63.0,0.9620432735251155,63.0,0.9896763349025234,63,0.9535287361777782,63.0,0.9911992173557606
,,,,64.0,0.9728773867160779,64.0,0.9919699008739639,64,0.9605807217509915,64.0,0.9941276546452721
,,,,65.0,0.9636597646886501,65.0,0.996551796364855,65,0.9575215707908271,65.0,0.9892320568916713
,,,,66.0,0.9727870105673927,66.0,0.9954128680571193,66,0.9620597860304344,66.0,0.9921783369064807
,,,,67.0,0.9681340096214562,67.0,0.9919856102299326,67,0.9539781685742592,67.0,0.9921622731433777
,,,,68.0,0.9634328923108345,68.0,0.9954076316051296,68,0.9524183684450386,68.0,0.9892183650781614
,,,,69.0,0.9581723665519031,69.0,0.9931193020856788,69,0.9627803618294939,69.0,0.9941252826956789
,,,,70.0,0.9680664158601123,70.0,0.9896868792126661,70,0.9583673277058202,70.0,0.9921848863195365
,,,,71.0,0.9655446781985461,71.0,0.9931245385376685,71,0.9608568781405944,71.0,0.995113323609048
,,,,72.0,0.9609932459534578,72.0,0.9919646644219743,72,0.9620481207965401,72.0,0.9931574564572009
,,,,73.0,0.9633922743047634,73.0,0.993129774989658,73,0.966146845342665,73.0,0.9941232547914203
,,,,74.0,0.9579163087396189,74.0,0.990830972566228,74,0.9695815722531089,74.0,0.9951044022463991
,,,,75.0,0.95704851698365,75.0,0.990830972566228,75,0.9660874921865626,75.0,0.9941342040583279
,,,,76.0,0.9605404804181342,76.0,0.9919751373259534,76,0.9648451933726869,76.0,0.9941342040583279
,,,,77.0,0.9651050003788042,77.0,0.9965570328168446,77,0.9667624770481227,77.0,0.9970605526161082
,,,,78.0,0.9706156500194217,78.0,0.9919699008739639,78,0.9600652169878371,78.0,0.9931506846537559
,,,,79.0,0.960506104670905,79.0,0.9954076316051296,79,0.9641485025693529,79.0,0.995113323609048
,,,,80.0,0.9594465362138982,80.0,0.9931193020856788,80,0.9579677631800221,80.0,0.9941032625069185
,,,,81.0,0.9663544441551646,81.0,0.9954233409610984,81,0.9613164384882237,81.0,0.9970715627104884
,,,,82.0,0.971356957948198,82.0,0.9930822832792524,82,0.9597153711708089,82.0,0.9931485350945519
,,,,83.0,0.970502797675515,83.0,0.9919751373259534,83,0.9757061769197335,83.0,0.9941121838695675
,,,,84.0,0.9657891219478406,84.0,0.9942634668454042,84,0.9614666771647732,84.0,0.9941342040583279
,,,,85.0,0.9696203277518463,85.0,0.9931245385376685,85,0.968138263532018,85.0,0.9911876142739819
,,,,86.0,0.9645287821636762,86.0,0.9931140656336892,86,0.9648254123502609,86.0,0.9941386647396523
,,,,87.0,0.9689574981281006,87.0,0.9896550254520657,87,0.9702494189694963,87.0,0.9911858353117872
,,,,88.0,0.9651521674841949,88.0,0.99770119757657,88,0.9694511827363977,88.0,0.9931640058702567
,,,,89.0,0.9620228342876325,89.0,0.9942421573949466,89,0.9682452844671947,89.0,0.9921738762251562
,,,,90.0,0.9572844170627276,90.0,0.987382768931083,90,0.9600147880548512,90.0,0.9941077231882429
,,,,91.0,0.9674740830575841,91.0,0.988532170142798,91,0.9701446260136068,91.0,0.9892564490300249
,,,,92.0,0.9673367325860387,92.0,0.996551796364855,92,0.9675696350584353,92.0,0.9931175935431426
,,,,93.0,0.9589776102776447,93.0,0.9896868078065026,93,0.9646808003894304,93.0,0.9960704229710078
,,,,94.0,0.9611081425962458,94.0,0.990830972566228,94,0.9736357692103024,94.0,0.9970671020291639
,,,,95.0,0.9604009297733677,95.0,0.9930927561832316,95,0.965946658513659,95.0,0.9941231939639477
,,,,96.0,0.967451681701567,96.0,0.9908204996622488,96,0.9708062339984248,96.0,0.9951177842903726
,,,,97.0,0.9577383586629581,97.0,0.9942582303934147,97,0.9679844882453935,97.0,0.9941321153265966
,,,,98.0,0.9665844990990152,98.0,0.9896815713545131,98,0.9667910140048763,98.0,0.9941386647396523
,,,,99.0,0.9687485440003982,99.0,0.990830972566228,99,0.9623468903261556,99.0,0.9931595451889321
,,,,100.0,0.9658875605691568,100.0,0.9942582303934147,100,0.9707417236226077,100.0,0.9892498996169691
,,,,101.0,0.9658164164287313,101.0,0.9908362090182176,101,0.9729210856050649,101.0,0.9941431254209768
,,,,102.0,0.9634742252781181,102.0,0.9885478794987668,102,0.9727765684233275,102.0,0.9960924431597682
,,,,103.0,0.9610160479782116,103.0,0.9954181045091088,103,0.9632129316405188,103.0,0.9960924431597682
,,,,104.0,0.966709478954139,104.0,0.9873775324790934,104,0.9686832219617886,104.0,0.9941342040583279
,,,,105.0,0.9505089580731819,105.0,0.9954076316051296,105,0.973574259010852,105.0,0.9941431254209768
,,,,106.0,0.9603823858537482,106.0,0.9919699008739639,106,0.961423848497487,106.0,0.9921429346737468
,,,,107.0,0.9588730231182103,107.0,0.9862120582689105,107,0.9686147477323448,107.0,0.9931440744132275
,,,,108.0,0.9579457856949453,108.0,0.9965675057208238,108,0.9660570212747083,108.0,0.9941386647396523
,,,,109.0,0.9634534115884492,109.0,0.9908100267582697,109,0.9628343381503633,109.0,0.9921649548625073
,,,,110.0,0.9642652570032051,110.0,0.9931245385376685,110,0.9598567890103529,110.0,0.9892498996169691
,,,,111.0,0.9572292062759827,111.0,0.9896710984505338,111,0.9647849642704783,111.0,0.9990208804492798
,,,,112.0,0.9618815774005416,112.0,0.9942739397493834,112,0.9720083550345852,112.0,0.9931729272329055
,,,,113.0,0.9649910994189219,113.0,0.9919908466819222,113,0.9626302317090485,113.0,0.9941276546452721
,,,,114.0,0.9641308305804023,114.0,0.9896727925967658,114,0.9708473031179929,114.0,0.9970715627104884
,,,,115.0,0.9587812618624381,115.0,0.9965570328168446,115,0.9679906605299331,115.0,0.9931485350945519
,,,,116.0,0.9625659637143182,116.0,0.9908204996622488,116,0.9599095024030124,116.0,0.9951177842903726
,,,,117.0,0.9680067690813988,117.0,0.9919646644219743,117,0.9687505294937634,117.0,0.9911566727225726
,,,,118.0,0.9573150215471175,118.0,0.9908100267582697,118,0.9756853174301114,118.0,0.9941231939639477
,,,,119.0,0.965745409578072,119.0,0.991980373777943,119,0.9560242362341705,119.0,0.9921673268121005
,,,,120.0,0.9541730974145612,120.0,0.9896763349025234,120,0.9586381082195771,120.0,0.9931754413120507
,,,,121.0,0.9593703234800162,121.0,0.9873880053830726,121,0.9668153506945347,121.0,0.9902111764423914
,,,,122.0,0.965097813799457,122.0,0.9931245385376685,122,0.9604337222025047,122.0,0.9941431254209768
,,,,123.0,0.9629633398168368,123.0,0.9931193020856788,123,0.9714441140622095,123.0,0.9951177842903726
,,,,124.0,0.9588791804325998,124.0,0.9954181045091088,124,0.9721883892243542,124.0,0.9970626413478395
,,,,125.0,0.9579442695009581,125.0,0.9942634668454042,125,0.9674208954155621,125.0,0.9921738762251562
,,,,126.0,0.9642731753353858,126.0,0.9942582303934147,126,0.9675141395579973,126.0,0.9970626413478395
,,,,127.0,0.9713159622324115,127.0,0.9896815713545131,127,0.9694165644180024,127.0,0.9921848863195365
,,,,128.0,0.9650539865216076,128.0,0.9931193020856788,128,0.9661887057193518,128.0,0.9882347848461168
,,,,129.0,0.954093210979015,129.0,0.9919647358281377,129,0.9635480876765177,129.0,0.991165903854758
,,,,130.0,0.9672166076556369,130.0,0.9919699008739639,130,0.9626933177677061,130.0,0.9931506238262833
,,,,131.0,0.9650840457805014,131.0,0.9919856102299326,131,0.966126916006152,131.0,0.9960924431597682
,,,,132.0,0.9619287202493156,132.0,0.9954076316051296,132,0.9668031251637706,132.0,0.9911902959931116
,,,,133.0,0.9611649476305195,133.0,0.9896868078065026,133,0.9682607468563345,133.0,0.992162866130776
,,,,134.0,0.9643565923400621,134.0,0.9931245385376685,134,0.9695772677838775,134.0,0.9921893470008609
,,,,135.0,0.9624377054865402,135.0,0.9942687032973938,135,0.9687286242845057,135.0,0.9970516312534592
,,,,136.0,0.9603180745375625,136.0,0.991980373777943,136,0.9723415368373529,136.0,0.995122244971697
,,,,137.0,0.9589263737934335,137.0,0.991980373777943,137,0.9627876282937842,137.0,0.9970715627104884
,,,,138.0,0.9633878306876388,138.0,0.9908257361142384,138,0.9667717467216258,138.0,0.9950978528333434
,,,,139.0,0.9595700318123119,139.0,0.9931193020856788,139,0.9634086411066574,139.0,0.9921557237303219
,,,,140.0,0.9681120767720116,140.0,0.9919433549715166,140,0.9614326960628693,140.0,0.9970626413478395
,,,,141.0,0.9597073862425427,141.0,0.9885056242403508,141,0.9678589863310582,141.0,0.9951023135146678
,,,,142.0,0.9605456479615018,142.0,0.9908204996622488,142,0.9640552471315875,142.0,0.9912236094941141
,,,,143.0,0.9643225521970427,143.0,0.9931193020856788,143,0.968267745297119,143.0,0.9902200978050404
,,,,144.0,0.9588385365821049,144.0,0.9885269336908085,144,0.9721955782498898,144.0,0.9902245584863648
,,,,145.0,0.9642648495940213,145.0,0.9896710984505338,145,0.9659651816614422,145.0,0.9882684081166557
,,,,146.0,0.96730059415699,146.0,0.9908205710684124,146,0.9633543310504618,146.0,0.9931595451889321
,,,,147.0,0.9571414359874227,147.0,0.9919751373259534,147,0.9668410667845944,147.0,0.9951177842903726
,,,,148.0,0.9642360747472793,148.0,0.9862438406233472,148,0.9667834974576128,148.0,0.9921982683635099
,,,,149.0,0.9664890811385615,149.0,0.9931193020856788,149,0.96934060052041,149.0,0.9912236094941141
,,,,150.0,0.9582185880635582,150.0,0.994279176201373,150,0.9606242112663823,150.0,0.9911876142739819
,,,,151.0,0.9621380975782743,151.0,0.9885374065947876,151,0.9605636689466945,151.0,0.9921783369064807
