x_fibrinogen_before_hydrolysis_SVM,y_fibrinogen_before_hydrolysis_SVM,x_fibrinogen_after_hydrolysis_SVM,y_fibrinogen_after_hydrolysis_SVM
2,0.32731789834010644,2,0.4545154612795397
3,0.47462678759638594,3,0.4443482978963915
4,0.5031182414179819,4,0.8867866413817204
5,0.4927311984243568,5,0.8628571117448277
6,0.7006162921670428,6,0.8898871437061036
7,0.7966335724218417,7,0.9437096196098966
8,0.7869280342061264,8,0.9452743884522617
9,0.8095241381114311,9,0.9631805457290222
10,0.8747897989118385,10,0.9737598914884233
11,0.9005523672929501,11,0.9701675773697934
12,0.9106540553561828,12,0.9611831279421307
13,0.9354288322676786,13,0.9858217806372619
14,0.9483012624828836,14,0.9912060853889109
15,0.9737144719383598,15,0.9947236512333465
16,0.96117726533239,16,0.9699758433830457
17,0.9700733295458094,17,0.9894516994239986
18,0.9540064791788123,18,0.9911794371628166
19,0.9498339045373781,19,0.9982412170777821
20,0.9460876302924889,20,0.9894206542405989
21,0.9565562480720715,21,0.9982412170777821
22,0.9536160042893966,22,0.9946970030072523
23,0.9716044190514793,23,0.9878404144332122
24,0.9583736923614077,24,0.9982412170777821
25,0.9428162947387041,25,1.0
26,0.9605346903864095,26,0.9947236512333465
27,0.9700397991256717,27,0.9947236512333465
28,0.960711352449987,28,0.9964824341555644
29,0.9644392903640093,29,1.0
30,0.978684053277928,30,0.9947995986777151
31,0.953347914615635,31,0.9894206542405989
32,0.9570008377732021,32,0.9964557859294702
33,0.9698199512603944,33,0.9964824341555644
34,0.9414489487000486,34,0.9982412170777821
35,0.9538288994212084,35,0.9947236512333465
36,0.9464846222407274,36,0.9964824341555644
37,0.9572687856865794,37,0.9929648683111287
38,0.9516123665952573,38,0.9947236512333465
39,0.9499066541946153,39,1.0
40,0.9489434644559298,40,0.9838130530297076
41,0.9627656021794214,41,0.9912060853889109
42,0.9680660675906901,42,0.9982412170777821
43,0.9714993381442787,43,0.9964824341555644
44,0.9557132823847193,44,0.9964824341555644
45,0.9629087031535474,45,0.9947236512333465
46,0.9644038482233039,46,0.9947236512333465
47,0.9554118040512044,47,0.9929382200850345
48,0.9610115290415111,48,0.9964824341555644
49,0.9662713402325591,49,0.9946970030072523
50,0.9654794065797175,50,0.9964824341555644
51,0.9538340801498696,51,0.9982412170777821
52,0.9573280009755841,52,0.9912060853889109
53,0.9662646168374077,53,0.9947236512333465
54,0.9752402004479567,54,0.9929648683111287
55,0.950054577918355,55,0.9894473024666931
56,0.9753357343385044,56,0.9982412170777821
57,0.9589549058479495,57,1.0
58,0.9699181499735516,58,0.9964824341555644
59,0.9572530168884428,59,0.9964824341555644
60,0.957422766088663,60,0.9982412170777821
61,0.9709044478475797,61,0.9893126982556034
62,0.9712468775528903,62,0.9947236512333465
63,0.9716004681623062,63,0.9928569123261333
64,0.9675853133161264,64,0.9893393464816976
65,0.953535768934172,65,0.9982412170777821
66,0.9624491701699798,66,0.9876885195444752
67,0.974818558890581,67,0.9894206542405989
68,0.9391810292682409,68,1.0
69,0.9520100247491481,69,0.9947236512333465
70,0.9662090859553152,70,0.9875805635594798
71,0.969711995275399,71,0.9928569123261333
72,0.9696113113255039,72,0.9928569123261333
73,0.9682543679773596,73,0.9876885195444752
74,0.9442026366688608,74,0.9930408157554972
75,0.960812036399882,75,0.9964824341555644
76,0.9682102188184327,76,0.9964824341555644
77,0.9771584730033483,77,1.0
78,0.9715562321069898,78,0.9929648683111287
79,0.9769745695739844,79,0.9947236512333465
80,0.973676349299618,80,0.9841530993885564
81,0.9734218587404183,81,0.9893393464816976
82,0.9681112670032338,82,0.9928569123261333
83,0.9753058883252789,83,0.9982412170777821
84,0.9672928490347424,84,0.9946970030072523
85,0.9841709537000396,85,0.9947236512333465
86,0.9697139069959666,86,0.9894473024666931
87,0.956255660682126,87,0.9964824341555644
88,0.966329033642053,88,0.9929648683111287
89,0.9679094223659972,89,0.9947236512333465
90,0.9823139720646646,90,0.9947236512333465
91,0.9513553444545786,91,0.9947236512333465
92,0.964761984706583,92,0.9875805635594798
93,0.9695664090645352,93,0.9964824341555644
94,0.9752030418479823,94,0.9929648683111287
95,0.9679214140677396,95,0.9930408157554972
96,0.9467045118503485,96,0.9912060853889109
97,0.9592982989104872,97,0.9928569123261333
98,0.9841487024312509,98,0.9875893574740908
99,0.9645399586384773,99,0.9947236512333465
100,0.9715604801477378,100,0.9893393464816976
101,0.9626341943923824,101,0.98942944815521
102,0.9570521206145467,102,0.9912820328332794
103,0.9697034985123628,103,0.9929736622257398
104,0.9698018461420775,104,0.9964824341555644
105,0.9697396068587204,105,0.9947236512333465
106,0.9716839946756844,106,0.9929648683111287
107,0.9609403319330986,107,0.9912553846071852
108,0.9410214954780703,108,0.9912820328332794
109,0.9645338452219027,109,0.9875805635594798
110,0.9555151528237089,110,0.9912104823462164
111,0.9567209341093338,111,0.9859030883961631
112,0.9588981608017959,112,0.9964824341555644
113,0.9682707566364076,113,0.9929648683111287
114,0.9715916742476951,114,1.0
115,0.9698422025291832,115,0.9894560963813042
116,0.9736675553850069,116,0.9929692652684342
117,0.9590811158678195,117,0.9929648683111287
118,0.9550919469609384,118,0.9912060853889109
119,0.9752565891070046,119,0.9875805635594798
120,0.9698368422146504,120,0.9929648683111287
121,0.975252192149699,121,0.9964868311128698
122,0.9625441710960057,122,0.9929648683111287
123,0.9662371638825933,123,0.9964824341555644
124,0.9646461981642037,124,0.9947236512333465
125,0.967860123147723,125,0.9964824341555644
126,0.9626768635865277,126,0.9912060853889109
127,0.9588854512677227,127,0.9912820328332794
128,0.9695687924109968,128,0.9982412170777821
129,0.9645883408442654,129,0.9929648683111287
130,0.9769296673130157,130,1.0
131,0.964753190791972,131,0.9964824341555644
132,0.9730961155272708,132,0.9912060853889109
133,0.9696455542960349,133,0.9875805635594798
134,0.9824165677351273,134,0.9964824341555644
135,0.9643203060344986,135,0.9947236512333465
136,0.9718518785000779,136,0.9947236512333465
137,0.9734963967594271,137,0.9947236512333465
138,0.9645736843199135,138,0.9860538710111154
139,0.973508065751833,139,0.9947236512333465
140,0.9532956886928875,140,0.9929648683111287
141,0.9663480871237105,141,0.9858764401700689
142,0.967860123147723,142,0.9929382200850345
143,0.9538070015310701,143,0.9843392372478245
144,0.9714749243480886,144,0.9894206542405989
145,0.9501776777290234,145,0.9947236512333465
146,0.9590336977007989,146,0.9964824341555644
147,0.9771358220111682,147,0.9964824341555644
148,0.9625676365288554,148,0.9947236512333465
